Package                       Version
----------------------------- -----------------------
alabaster                     1.0.0
annotated-types               0.7.0
anyio                         4.13.0
argcomplete                   3.6.3
attrs                         26.1.0
autobahn                      25.10.2
autocommand                   2.2.2
Automat                       25.4.16
babel                         2.17.0
base58                        2.1.1
build                         1.4.2
CacheControl                  0.14.4
cachy                         0.3.0
certifi                       2026.2.25
cffi                          2.0.0
charset-normalizer            3.4.6
cleo                          2.1.0
cli_helpers                   2.12.0
click                         8.3.2
click-default-group           1.2.4
condense-json                 0.1.3
configobj                     5.0.9
constantly                    23.10.4
crashtest                     0.4.1
cryptography                  46.0.6
distlib                       0.4.0
distro                        1.9.0
docformatter                  1.7.7
docutils                      0.22.4
dulwich                       1.1.0
fastjsonschema                2.21.2
filelock                      3.25.2
findpython                    0.7.1
flit_core                     3.12.0
GeoIP                         1.3.2
git-filter-repo               2.47.0
h11                           0.16.0
h2                            4.3.0
hkdf                          0.0.3
hpack                         4.1.0
html5lib                      1.1
httpcore                      1.0.9
httpx                         0.28.1
humanize                      4.15.0
hyperframe                    6.1.0
hyperlink                     21.0.0
hypothesis                    6.151.9
idna                          3.11
imagesize                     1.4.1
Incremental                   24.11.0
iniconfig                     2.3.0
installer                     0.7.0
iterable-io                   1.0.1
jaraco.classes                3.4.0
jaraco.collections            5.1.0
jaraco.context                6.0.1
jaraco.functools              4.1.0
jaraco.text                   4.0.0
jeepney                       0.9.0
Jinja2                        3.1.6
jiter                         0.13.0
jsonschema                    4.26.0
jsonschema-specifications     2025.9.1
keyring                       25.7.0
lark                          1.3.1
litecli                       1.17.2.dev11+ga9fc0e857
llm                           0.29
magic-wormhole                0.23.0
MarkupSafe                    3.0.3
mock                          5.2.0
more-itertools                10.8.0
msgpack                       1.1.2
nftables                      0.1
openai                        2.29.0
packaging                     26.0
pbs-installer                 2026.3.25
pexpect                       4.9.0
pip                           26.0.1
pipx                          1.11.0
pkg_resources                 81.0.0
pkginfo                       1.12.1.2
platformdirs                  4.9.4
pluggy                        1.6.0
poetry                        2.3.2
poetry-core                   2.3.1
poetry-plugin-export          1.9.0
prompt_toolkit                3.0.52
ptyprocess                    0.7.0
puremagic                     2.1.1
pyasn1                        0.6.3
pyasn1_modules                0.4.2
pycparser                     3.0
pydantic                      2.12.5
pydantic_core                 2.41.5
Pygments                      2.19.2
PyNaCl                        1.6.2
pyOpenSSL                     26.0.0
pyproject_hooks               1.2.0
pytest                        8.4.2
python-dateutil               2.9.0
python-discovery              1.2.1
python-ulid                   3.1.0
pytz                          2026.1
PyYAML                        6.0.3
qrcode                        8.2
RapidFuzz                     3.14.3
referencing                   0.37.0
Reflector                     2023.6.28.0.36.1
requests                      2.32.5
requests-toolbelt             1.0.0
roman-numerals-py             3.1.0
rpds-py                       0.30.0
SecretStorage                 3.4.1
service-identity              24.2.0
setuptools                    82.0.1
setuptools-scm                9.2.2
shellingham                   1.5.4
six                           1.17.0
sniffio                       1.3.1
snowballstemmer               3.0.0.1
sortedcontainers              2.4.0
spake2                        0.9
Sphinx                        9.1.0
sphinxcontrib-applehelp       2.0.0
sphinxcontrib-devhelp         2.0.0
sphinxcontrib-htmlhelp        2.1.0
sphinxcontrib-jsmath          1.0.1
sphinxcontrib-qthelp          2.0.0
sphinxcontrib-serializinghtml 2.0.0
sqlite-fts4                   1.0.3
sqlite-migrate                0.1b0
sqlite-utils                  3.39
sqlparse                      0.5.3
tabulate                      0.10.0
tomli                         2.4.0
tomli_w                       1.2.0
tomlkit                       0.14.0
tqdm                          4.67.3
trove-classifiers             2026.1.14.14
Twisted                       24.7.0
txaio                         25.12.2
txtorcon                      24.8.0
typing_extensions             4.15.0
typing-inspection             0.4.2
untokenize                    0.1.1
urllib3                       2.6.3
userpath                      1.9.2
validate                      5.0.9
virtualenv                    21.2.0
wcwidth                       0.6.0
webencodings                  0.5.1
wheel                         0.46.3
wsaccel                       0.6.7
xmltodict                     1.0.4
yq                            3.4.3
zipstream-ng                  1.9.0
zope.interface                8.2
